Method,path,req,Param_Name,CORS,Dev_resources_id
POST,/kyc/personal,body,net_profit,no,xb9v0gg9de
POST,/kyc/personal,body,file_extension,no,xb9v0gg9de
GET,/kyc/status,header,user_token,no,xb9v0gg9de
POST,/kyc/face_check,header,user_token,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_identity_url,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_identity_bytes,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_image_url,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_image_bytes,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_video_url,no,xb9v0gg9de
POST,/kyc/face_check,body,fakeoff_video_bytes,no,xb9v0gg9de
GET,/wallet/upgrade,querystring,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/upgrade,querystring,page,no,xb9v0gg9de
GET,/wallet/upgrade,querystring,count,no,xb9v0gg9de
GET,/wallet/upgrade,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary,querystring,page,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary,querystring,count,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,path,summary_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,querystring,page,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/history,querystring,count,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/payment_method/confirm,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/summary/{summary_id}/payment_method/request,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,currency_code,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,upgrade_wallet_plan_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,month_year_once,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,insurance_coverage_USD,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,subscription_fee_USD,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,management_fee_discount_off,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment,body,remark,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit,path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit/{summary_id}/cancel,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit/{summary_id}/cancel,path,summary_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/fxbit/{summary_id}/cancel,path,m_hd_wallet_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id},header,user_token,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id},path,summary_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id},path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/extend,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/extend,path,summary_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/extend,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/invoice/{invoice_id},header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/invoice/{invoice_id},path,summary_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/invoice/{invoice_id},path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/invoice/{invoice_id},path,invoice_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/plan,header,user_token,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/plan,path,summary_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/upgrade/payment/{summary_id}/plan,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet,header,user_token,no,xb9v0gg9de
GET,/wallet,querystring,page,no,xb9v0gg9de
GET,/wallet,querystring,currency_code,no,xb9v0gg9de
GET,/wallet,querystring,count,no,xb9v0gg9de
GET,/wallet,querystring,balance,no,xb9v0gg9de
GET,/wallet/proposal,header,user_token,no,xb9v0gg9de
POST,/wallet/proposal/create,header,user_token,no,xb9v0gg9de
POST,/wallet/proposal/create,header,x_api_key,no,xb9v0gg9de
POST,/wallet/proposal/create,body,wallet_type,no,xb9v0gg9de
POST,/wallet/proposal/create,body,m,no,xb9v0gg9de
POST,/wallet/proposal/create,body,n,no,xb9v0gg9de
POST,/wallet/proposal/create,body,BTC,no,xb9v0gg9de
POST,/wallet/proposal/create,body,wallet_name,no,xb9v0gg9de
POST,/wallet/proposal/create,body,remark,no,xb9v0gg9de
POST,/wallet/proposal/create,body,wallet_password,no,xb9v0gg9de
POST,/wallet/proposal/delete,header,user_token,no,xb9v0gg9de
POST,/wallet/proposal/delete,body,wallet_type,no,xb9v0gg9de
POST,/wallet/proposal/delete,body,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/proposal/delete,body,wallet_password,no,xb9v0gg9de
PUT,/wallet/proposal/delete/{wallet_proposal_id},header,user_token,no,xb9v0gg9de
PUT,/wallet/proposal/delete/{wallet_proposal_id},path,wallet_proposal_id,no,xb9v0gg9de
GET,/wallet/proposal/{proposal_id},header,user_token,no,xb9v0gg9de
GET,/wallet/proposal/{proposal_id},path,proposal_id,no,xb9v0gg9de
PUT,/wallet/proposal/create/{wallet_proposal_id},header,user_token,no,xb9v0gg9de
PUT,/wallet/proposal/create/{wallet_proposal_id},header,x_api_key,no,xb9v0gg9de
PUT,/wallet/proposal/create/{wallet_proposal_id},path,wallet_proposal_id,no,xb9v0gg9de
PUT,/wallet/proposal/create/{wallet_proposal_id},body,status,no,xb9v0gg9de
PUT,/wallet/proposal/create/{wallet_proposal_id},body,wallet_password,no,xb9v0gg9de
PUT,/wallet/proposal/create/{wallet_proposal_id},body,wallet_name,no,xb9v0gg9de
PUT,/wallet/proposal/create/{wallet_proposal_id},body,remarkoptional,no,xb9v0gg9de
GET,/wallet/summary,header,user_token,no,xb9v0gg9de
GET,/wallet/summary,querystring,summary_type,no,xb9v0gg9de
GET,/wallet/summary,querystring,currency_code,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/name,header,user_token,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/name,path,m_hd_wallet_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/name,body,wallet_name,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/password/verify,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/password/verify,path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/password/verify,body,pw,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/{currency_code},header,user_token,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/{currency_code},path,currency_code,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/{currency_code},path,m_hd_wallet_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/{currency_code},body,enable,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,path,currency_code,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,querystring,page,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,querystring,count,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,path,currency_code,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,body,wallet_proposal_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/public_address,body,password,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx,path,currency_code,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx,querystring,type,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx,querystring,page,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx,querystring,count,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx/{type}/{tx_id},header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx/{type}/{tx_id},path,type,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx/{type}/{tx_id},path,tx_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx/{type}/{tx_id},path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/tx/{type}/{tx_id},path,currency_code,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/proposal,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/proposal,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/proposal,querystring,page,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/proposal,querystring,currency_code,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/proposal,querystring,count,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/proposal,querystring,status,no,8jw24bbm8a
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,header,x_api_key,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,path,currency_code,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,body,amount,no,xb9v0gg9de
